subject	coursenum	section	title	format	instructor	term	code	enrolled
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Williams, Chad"	Fall 2018	1183	21
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Smith, Faith"	Fall 2017	1173	29
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Williams, Chad"	Fall 2016	1163	38
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Johnson, Jasmine"	Fall 2015	1153	36
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Williams, Chad"	Fall 2014	1143	28
AAAS	18B	1	AFRICA AND THE WEST	LEC	"Wendorf, Benjamin"	Spring 2016	1161	32
AAAS	60A	1	ECON OF 3RD WORLD HUNGER	LEC	"Nyangoni, Wellington"	Spring 2019	1191	26
AAAS	60A	1	ECON OF 3RD WORLD HUNGER	LEC	"Nyangoni, Wellington"	Spring 2018	1181	24
AAAS	60A	1	ECON OF 3RD WORLD HUNGER	LEC	"Nyangoni, Wellington"	Spring 2016	1161	19
AAAS	70A	1	INTRO TO AFRICAN AMER HISTORY	LEC	"Klug, Samuel"	Spring 2018	1181	18
AAAS	70A	1	INTRO TO AFRICAN AMER HISTORY	LEC	"Pope, Andrew"	Spring 2016	1161	12
AAAS	79B	1	20TH CENTURY AFRO-AM LIT	LEC	"Sylvain, Patrick"	Fall 2018	1183	13
AAAS	79B	1	20TH CENTURY AFRO-AM LIT	LEC	"Pearson, Melissa"	Fall 2016	1163	16
AAAS	79B	1	20TH CENTURY AFRO-AM LIT	LEC	"Smith, Faith"	Spring 2015	1151	14
AAAS	80A	1	ECONOMY & SOCIETY-AFRICA	LEC	"Nyangoni, Wellington"	Spring 2019	1191	16
AAAS	80A	1	ECONOMY & SOCIETY-AFRICA	LEC	"Nyangoni, Wellington"	Spring 2017	1171	17
AAAS	80A	1	ECONOMY & SOCIETY-AFRICA	LEC	"Nyangoni, Wellington"	Spring 2015	1151	22
AAAS	98A	3	INDEPENDENT STUDY	IND	"Williams, Chad"	Fall 2015	1153	1
AAAS	98A	3	INDEPENDENT STUDY	IND	"Williams, Chad"	Fall 2014	1143	1
